No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,570.0,325.0,1285.1,351.0,399.0,13.68
2,Sumatera Utara,1277.9,1220.5,1135.7,2165.0,661.0,-69.47
3,Sumatera Barat,335.7,336.9,301.7,261.0,144.0,-44.83
4,Riau,171.6,151.7,59.7,80.0,77.0,-3.75
5,Jambi,97.0,39.0,64.1,66.0,60.0,-9.09
6,Sumatera Selatan,0.0,0.0,0.0,240.0,249.0,3.75
7,Bengkulu,167.8,154.6,178.5,200.0,196.0,-2.0
8,Lampung,1032.8,1364.8,843.2,479.0,259.0,-45.93
9,Kepulauan Bangka Belitung,0.0,0.0,0.8,0.0,0.0,
10,Kepulauan Riau,0.4,0.0,0.0,0.0,0.0,
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,7335.6,5796.7,5384.3,4276.0,3609.0,-15.6
13,Jawa Tengah,92788.2,97549.3,34095.6,68566.0,69324.0,1.11
14,Daerah Istimewa Yogyakarta,645.0,568.7,668.3,505.0,191.0,-62.18
15,Jawa Timur,40884.6,43340.0,32353.3,40941.0,24500.0,-40.16
16,Banten,288.8,304.5,150.6,185.0,633.0,242.16
17,Bali,284.8,216.5,188.2,54.0,53.0,-1.85
18,Nusa Tenggara Barat,15792.7,18329.8,1640.8,11642.0,5388.0,-53.72
19,Nusa Tenggara Timur,12563.7,13668.0,12557.8,9869.0,10071.0,2.05
20,Kalimantan Barat,658.0,328.2,482.5,57.0,138.0,142.11
21,Kalimantan Tengah,93.5,19.7,7.6,9.0,13.0,44.44
22,Kalimantan Selatan,1762.7,486.9,3993.8,35.0,73.0,108.57
23,Kalimantan Timur,128.1,153.6,47.5,17.0,56.0,229.41
24,Kalimantan Utara,19.7,7.0,5.6,5.0,4.0,-20.0
25,Sulawesi Utara,149.9,182.3,252.9,95.0,207.0,117.89
26,Sulawesi Tengah,453.6,386.0,264.0,307.0,192.0,-37.46
27,Sulawesi Selatan,10039.6,7286.4,3376.8,4125.0,4200.0,1.82
28,Sulawesi Tenggara,548.2,344.9,254.6,371.0,337.0,-9.16
29,Gorontalo,12.0,16.0,17.0,8.0,10.0,25.0
30,Sulawesi Barat,0.0,0.0,0.0,342.0,324.0,-5.26
31,Maluku,0.0,0.0,0.0,138.0,452.0,227.54
32,Maluku Utara,261.0,403.7,472.0,20.0,364.0,1720.0
33,Papua Barat,0.0,0.0,0.0,0.0,0.0,
34,Papua Barat Daya,0.0,0.0,0.0,0.0,10.0,1000.0
35,Papua,189.9,82.3,142.9,0.0,56.0,5600.0
36,Papua Selatan,0.0,0.0,0.0,0.0,26.0,2600.0
37,Papua Tengah,0.0,0.0,0.0,0.0,4.0,400.0
38,Papua Pegunungan,0.0,0.0,0.0,0.0,0.0,
INDONESIA,INDONESIA,188552.8,193063.0,100224.9,0.0,122279.0,-15.91
